iter	A(1)	B(1)	A(1.1)	B(1.1)	A(1.2)	B(1.2)	A(1.3)	B(1.3)	A(1.4)	B(1.4)	A(1.5)	B(1.5)	A(1.6)	B(1.6)	A(1.7)	B(1.7)	A(1.8)	B(1.8)	A(1.9)	B(1.9)	A(1.10)	B(1.10)	LnPrior	LnData	LnPosterior
547	0.015205	1.259	-0.0775921	1.17058	0.176143	1.43239	-0.136058	1.11737	0.187931	1.2986	0.0649937	1.12324	-0.0143569	1.15265	-0.0881055	0.943878	-0.212839	1.07515	0.0997513	1.29076	0.0397191	1.26896	3.454515e+00	1.608479e+02	1.643024e+02
548	0.015205	1.259	-0.0775921	1.16891	0.164406	1.43239	-0.135615	1.11737	0.187931	1.2986	0.0649937	1.12324	-0.0143569	1.15265	-0.0881055	0.943878	-0.212839	1.06742	0.113645	1.29076	0.0390529	1.26775	3.477986e+00	1.635022e+02	1.669802e+02
549	0.015205	1.259	-0.0775921	1.16891	0.164856	1.43239	-0.135615	1.11737	0.176089	1.2986	0.0649937	1.12324	-0.0143569	1.15127	-0.071744	0.943878	-0.212839	1.06742	0.134795	1.29093	0.0390529	1.26775	3.590037e+00	1.631976e+02	1.667877e+02
550	0.015205	1.259	-0.0775921	1.16891	0.164856	1.43239	-0.135615	1.11737	0.176089	1.2986	0.0562206	1.12836	-0.00804111	1.15127	-0.071744	0.943878	-0.212839	1.06508	0.110859	1.29093	0.0390529	1.26775	3.909895e+00	1.625084e+02	1.664183e+02
551	0.015205	1.259	-0.0613048	1.16891	0.164856	1.43239	-0.124544	1.11737	0.176089	1.29564	0.0562206	1.12836	-0.026064	1.15253	-0.0689337	0.943878	-0.212839	1.0716	0.110859	1.29612	0.0390529	1.26863	4.207134e+00	1.635941e+02	1.678012e+02
552	0.015205	1.259	-0.0752842	1.16523	0.164856	1.43239	-0.133911	1.11737	0.176089	1.29926	0.0202811	1.12836	-0.00941719	1.15253	-0.0689337	0.943878	-0.212839	1.07142	0.0804623	1.29612	0.0390529	1.26863	4.324546e+00	1.620894e+02	1.664139e+02
553	0.015205	1.259	-0.0752842	1.16523	0.164856	1.43239	-0.158569	1.11737	0.176089	1.29926	0.0202811	1.12836	0.010999	1.15253	-0.049162	0.943878	-0.212839	1.07142	0.0804623	1.29612	0.0390529	1.26397	4.103539e+00	1.602050e+02	1.643085e+02
554	0.015205	1.259	-0.0593423	1.16469	0.164856	1.43239	-0.152189	1.11784	0.176089	1.29418	0.0649938	1.12409	0.010999	1.15032	-0.0676617	0.94128	-0.21844	1.07389	0.0804623	1.29612	0.0212129	1.26549	3.958219e+00	1.636473e+02	1.676055e+02
555	0.015205	1.259	-0.0409632	1.16511	0.159254	1.43239	-0.142499	1.11784	0.189575	1.29418	0.0649938	1.12658	-0.0113379	1.15468	-0.0676617	0.94128	-0.21844	1.07021	0.0804623	1.29612	0.0212129	1.26373	4.061640e+00	1.652567e+02	1.693184e+02
556	0.015205	1.259	-0.0409632	1.16511	0.159254	1.43239	-0.139505	1.11784	0.211758	1.29369	0.0577548	1.12658	-0.0180758	1.15468	-0.0676617	0.94128	-0.21844	1.07021	0.0501005	1.29612	0.0212129	1.26539	3.862519e+00	1.624137e+02	1.662762e+02
557	-0.00404622	1.259	-0.0409632	1.16511	0.159254	1.43246	-0.136271	1.11704	0.211758	1.29369	0.0577548	1.12658	-0.0180758	1.15468	-0.0831149	0.94128	-0.228166	1.07422	0.0501005	1.29995	0.0212129	1.26539	3.671903e+00	1.640536e+02	1.677255e+02
