Results of Simulation 1

Time	Q_inh	Q_brain	Q_muscle	Q_lung	Q_heart	Q_liver	Q_kidney	Q_pancreas	Q_art	Q_ven	Q_stom_lumen	Q_urine	Q_spleen	Q_gut_lumen	Q_urt	Q_gonads
53	2.25	0.0577132	0.172956	0.00205473	0.00903491	0.0732468	0.00404673	0.00521771	0.00155618	0.00679845	0.00501244	1.95186e-06	0.0011602	0.00078537	2.47415e-05	0.000485746
54	2.25	0.0572863	0.173703	0.00202982	0.00889095	0.0721748	0.00399727	0.00518453	0.0015373	0.00671611	0.00495125	1.96484e-06	0.00114597	0.000775395	2.44416e-05	0.000486789
55	2.25	0.0568585	0.174432	0.00200532	0.00875074	0.0711216	0.00394854	0.00515115	0.00151873	0.00663508	0.004891	1.97767e-06	0.00113195	0.000765599	2.41465e-05	0.00048778
56	2.25	0.0564301	0.175146	0.00198121	0.00861412	0.070087	0.00390056	0.00511759	0.00150045	0.00655536	0.00483167	1.99034e-06	0.00111813	0.000755977	2.38562e-05	0.000488718
57	2.25	0.0560012	0.175843	0.00195749	0.00848096	0.0690707	0.00385333	0.00508387	0.00148247	0.00647695	0.00477329	2.00285e-06	0.00110451	0.000746521	2.35705e-05	0.000489606
58	2.25	0.055572	0.176524	0.00193416	0.00835115	0.0680728	0.00380684	0.00505	0.00146479	0.00639982	0.00471583	2.01522e-06	0.00109111	0.000737228	2.32896e-05	0.000490444
59	2.25	0.0551426	0.177189	0.00191122	0.00822455	0.0670929	0.00376109	0.005016	0.0014474	0.00632398	0.00465931	2.02743e-06	0.00107791	0.000728094	2.30134e-05	0.000491233
60	2.25	0.0547133	0.177839	0.00188866	0.00810106	0.0661309	0.00371608	0.00498189	0.00143029	0.0062494	0.0046037	2.0395e-06	0.00106492	0.000719114	2.27417e-05	0.000491975
61	2.25	0.0542841	0.178474	0.00186647	0.00798055	0.0651864	0.0036718	0.00494767	0.00141348	0.00617607	0.00454901	2.05143e-06	0.00105213	0.000710286	2.24746e-05	0.000492669
62	2.25	0.0538552	0.179094	0.00184467	0.00786294	0.0642592	0.00362825	0.00491337	0.00139694	0.00610398	0.00449522	2.06321e-06	0.00103955	0.000701606	2.2212e-05	0.000493318
63	2.25	0.0534268	0.1797	0.00182322	0.00774812	0.0633492	0.00358542	0.004879	0.00138069	0.0060331	0.00444234	2.07486e-06	0.00102716	0.000693072	2.19538e-05	0.000493922
64	2.25	0.052999	0.180291	0.00180215	0.007636	0.0624559	0.0035433	0.00484458	0.00136471	0.00596342	0.00439033	2.08636e-06	0.00101498	0.000684682	2.17e-05	0.000494482
65	2.25	0.052572	0.180868	0.00178142	0.00752647	0.0615791	0.00350189	0.00481011	0.001349	0.00589492	0.0043392	2.09773e-06	0.001003	0.000676432	2.14504e-05	0.000494999
66	2.25	0.0521459	0.181431	0.00176105	0.00741948	0.0607185	0.00346118	0.00477562	0.00133356	0.00582758	0.00428893	2.10897e-06	0.000991218	0.00066832	2.12051e-05	0.000495475
67	2.25	0.0517208	0.181981	0.00174103	0.00731492	0.0598739	0.00342114	0.00474111	0.00131838	0.00576139	0.00423951	2.12008e-06	0.000979629	0.000660345	2.0964e-05	0.000495909
