Results of Simulation 1

Time	C_skin	C_brain	C_null	C_muscle	C_lung	C_heart	C_liver	C_kidney	C_stomach	C_gut	C_pancreas	C_adrenal	C_adip	C_art	C_ven	C_stom_lumen	C_marrow	C_thyroid	C_spleen	C_gut_lumen	C_other
111	10.8539	9.5397	0	2.18749	0.699888	4.86238	3.14919	2.21236	3.17784	3.60914	8.76843	2.20068	1.96308	0.188838	0.236416	0	5.61416	2.07661	1.34195	0	1.50973
112	10.8125	9.43816	0	2.18874	0.691983	4.77798	3.09079	2.18635	3.12241	3.54803	8.65317	2.17283	1.96839	0.1867	0.233751	0	5.61911	2.05231	1.32508	0	1.51099
113	10.7708	9.33765	0	2.1899	0.684275	4.69625	3.03431	2.161	3.06854	3.48895	8.53964	2.14575	1.97365	0.184616	0.231153	0	5.62384	2.02863	1.30867	0	1.51219
114	10.7289	9.23817	0	2.19098	0.676758	4.6171	2.97966	2.1363	3.01618	3.4318	8.42782	2.11941	1.97884	0.182584	0.22862	0	5.62835	2.00555	1.29271	0	1.51333
115	10.6867	9.13972	0	2.19197	0.669426	4.54042	2.92677	2.11221	2.96529	3.3765	8.31771	2.09377	1.98397	0.180602	0.226148	0	5.63265	1.98305	1.27716	0	1.51441
116	10.6444	9.04231	0	2.19288	0.662272	4.46613	2.87558	2.08873	2.91581	3.32299	8.20927	2.06882	1.98904	0.178668	0.223737	0	5.63674	1.9611	1.26203	0	1.51544
117	10.6019	8.94594	0	2.19371	0.65529	4.39413	2.82603	2.06583	2.86771	3.27118	8.10251	2.04452	1.99406	0.17678	0.221383	0	5.64063	1.9397	1.24729	0	1.51641
118	10.5593	8.85062	0	2.19447	0.648475	4.32433	2.77805	2.04348	2.82095	3.22102	7.9974	2.02085	1.99901	0.174938	0.219085	0	5.64433	1.91882	1.23294	0	1.51733
119	10.5164	8.75633	0	2.19515	0.641821	4.25667	2.73159	2.02168	2.77548	3.17243	7.89393	1.99779	2.00391	0.173139	0.216842	0	5.64783	1.89845	1.21895	0	1.5182
120	10.4735	8.66309	0	2.19575	0.635323	4.19106	2.68659	2.00041	2.73127	3.12535	7.79207	1.97532	2.00876	0.171383	0.214652	0	5.65115	1.87856	1.20531	0	1.51902
121	10.4304	8.57089	0	2.19629	0.628976	4.12742	2.64298	1.97964	2.68827	3.07973	7.69182	1.95342	2.01355	0.169667	0.212512	0	5.65428	1.85915	1.19201	0	1.51979
122	10.3872	8.47973	0	2.19676	0.622774	4.06569	2.60073	1.95936	2.64645	3.0355	7.59315	1.93206	2.0183	0.167991	0.210421	0	5.65724	1.84019	1.17905	0	1.52052
123	10.3439	8.3896	0	2.19716	0.616714	4.00578	2.55978	1.93956	2.60578	2.99261	7.49605	1.91123	2.02299	0.166353	0.208378	0	5.66003	1.82168	1.1664	0	1.52119
124	10.3006	8.30051	0	2.19749	0.610791	3.94765	2.52008	1.92022	2.56621	2.95101	7.4005	1.89091	2.02763	0.164752	0.20638	0	5.66265	1.80359	1.15406	0	1.52182
125	10.2571	8.21245	0	2.19776	0.605	3.89122	2.48159	1.90132	2.52771	2.91064	7.30648	1.87108	2.03223	0.163187	0.204427	0	5.6651	1.78592	1.14202	0	1.52241
126	10.2136	8.12541	0	2.19797	0.599336	3.83643	2.44426	1.88285	2.49026	2.87147	7.21397	1.85173	2.03677	0.161657	0.202518	0	5.66739	1.76865	1.13026	0	1.52295
127	10.1701	8.0394	0	2.19811	0.593797	3.78322	2.40804	1.8648	2.45381	2.83344	7.12295	1.83283	2.04127	0.16016	0.20065	0	5.66953	1.75176	1.11879	0	1.52345
128	10.1265	7.95441	0	2.1982	0.588378	3.73154	2.3729	1.84714	2.41834	2.79652	7.03341	1.81438	2.04573	0.158695	0.198822	0	5.67151	1.73525	1.10758	0	1.52391
129	10.0828	7.87043	0	2.19823	0.583075	3.68133	2.3388	1.82988	2.38382	2.76065	6.94532	1.79636	2.05014	0.157262	0.197034	0	5.67335	1.71911	1.09663	0	1.52433
130	10.0392	7.78746	0	2.1982	0.577884	3.63254	2.30569	1.813	2.35021	2.72581	6.85867	1.77876	2.05451	0.15586	0.195283	0	5.67503	1.70331	1.08593	0	1.52472
131	9.99547	7.70549	0	2.19812	0.572803	3.58511	2.27355	1.79648	2.3175	2.69194	6.77343	1.76155	2.05884	0.154486	0.193569	0	5.67658	1.68786	1.07547	0	1.52506
132	9.95179	7.62452	0	2.19798	0.567827	3.53901	2.24233	1.78032	2.28564	2.65902	6.68959	1.74473	2.06312	0.153142	0.191891	0	5.67798	1.67274	1.06525	0	1.52536
133	9.9081	7.54454	0	2.19779	0.562953	3.49417	2.212	1.76449	2.25463	2.627	6.60712	1.72829	2.06737	0.151825	0.190247	0	5.67925	1.65793	1.05525	0	1.52563
134	9.86443	7.46554	0	2.19754	0.558179	3.45056	2.18253	1.749	2.22442	2.59586	6.52602	1.71221	2.07157	0.150535	0.188637	0	5.68039	1.64344	1.04548	0	1.52586
135	9.82077	7.38751	0	2.19725	0.553501	3.40814	2.15389	1.73384	2.195	2.56557	6.44625	1.69648	2.07574	0.149272	0.187059	0	5.68139	1.62925	1.03591	0	1.52606
136	9.77713	7.31045	0	2.19691	0.548917	3.36686	2.12605	1.71898	2.16633	2.53608	6.36781	1.6811	2.07986	0.148033	0.185513	0	5.68227	1.61534	1.02656	0	1.52622
137	9.73352	7.23436	0	2.19652	0.544423	3.32668	2.09897	1.70443	2.13841	2.50738	6.29066	1.66604	2.08395	0.146819	0.183997	0	5.68302	1.60172	1.0174	0	1.52635
