iter	min_F(1)	max_F(1)	ka(1)	ke(1)	F(1)	SD_C_central(1)	SD_AUC(1)	LnPrior	LnData	LnPosterior
176	0.361591	0.887108	0.102779	0.049057	0.71978	0.101464	0.0973316	1.139107e+01	3.763281e+01	4.902388e+01
177	0.37764	0.98281	0.102779	0.049057	0.71978	0.0963288	0.0976881	1.127540e+01	3.766924e+01	4.894464e+01
178	0.291459	0.969999	0.102779	0.049057	0.71978	0.100293	0.100614	1.103128e+01	3.755852e+01	4.858980e+01
179	0.42073	0.94919	0.102779	0.049057	0.719676	0.096009	0.096622	1.148270e+01	3.768319e+01	4.916589e+01
180	0.42073	0.965827	0.102779	0.0495755	0.719676	0.0990236	0.0960618	1.144122e+01	3.708100e+01	4.852222e+01
181	0.460421	0.949838	0.102779	0.0496451	0.734205	0.0985706	0.101383	1.161854e+01	3.816338e+01	4.978192e+01
182	0.492079	0.925293	0.102779	0.0496451	0.734205	0.0955051	0.105936	1.180099e+01	3.795743e+01	4.975842e+01
183	0.56699	0.867108	0.102779	0.0496451	0.734205	0.100098	0.0999423	1.232761e+01	3.820112e+01	5.052873e+01
184	0.510295	0.911253	0.102866	0.0496944	0.754345	0.106717	0.0997707	1.191304e+01	3.741553e+01	4.932857e+01
185	0.510295	0.858483	0.102866	0.0496944	0.754345	0.109258	0.0997066	1.205415e+01	3.732934e+01	4.938349e+01
186	0.531268	0.858483	0.0976512	0.0496944	0.754345	0.106612	0.0966156	1.221210e+01	3.773762e+01	4.994972e+01
187	0.440263	0.904084	0.103491	0.0496944	0.736937	0.106141	0.0967073	1.162764e+01	3.797721e+01	4.960485e+01
188	0.442586	0.827059	0.103491	0.0496944	0.732129	0.100114	0.0959003	1.181943e+01	3.795787e+01	4.977730e+01
189	0.488988	0.848339	0.100546	0.0499459	0.732129	0.101126	0.0915062	1.199785e+01	3.776607e+01	4.976392e+01
190	0.552965	0.848339	0.100546	0.0499459	0.740291	0.10421	0.0918035	1.232766e+01	3.846406e+01	5.079171e+01
191	0.570763	0.880414	0.100546	0.0499459	0.740291	0.107978	0.0964579	1.232108e+01	3.823097e+01	5.055205e+01
192	0.438223	0.880414	0.100546	0.0499459	0.745654	0.106416	0.101052	1.169569e+01	3.834821e+01	5.004391e+01
193	0.438223	0.961655	0.100546	0.0503466	0.758096	0.104555	0.0994611	1.151903e+01	3.802476e+01	4.954379e+01
194	0.377117	0.987565	0.100546	0.0503466	0.758096	0.101579	0.0977056	1.126199e+01	3.816473e+01	4.942672e+01
195	0.401497	0.967963	0.0969862	0.0503466	0.758096	0.0974128	0.0937401	1.141266e+01	3.891577e+01	5.032843e+01
196	0.505853	0.833913	0.0969862	0.0503466	0.770759	0.0961132	0.0992812	1.215048e+01	3.853312e+01	5.068360e+01
197	0.522819	0.811291	0.0969862	0.0505936	0.770759	0.0951183	0.0992812	1.230911e+01	3.877922e+01	5.108833e+01
198	0.520142	0.86983	0.0930535	0.0505936	0.770759	0.0911546	0.100216	1.215207e+01	3.751983e+01	4.967190e+01
199	0.502555	0.924785	0.0930535	0.0512087	0.770759	0.093337	0.102889	1.191544e+01	3.794716e+01	4.986260e+01
200	0.351006	0.929018	0.0930535	0.0512087	0.770759	0.0908446	0.0989248	1.133545e+01	3.803625e+01	4.937170e+01
