iter	ka(1)	ke(1)	F(1)	IndexT	LnPseudoPrior(0)	LnPseudoPrior(1)	LnPseudoPrior(2)	LnPseudoPrior(3)	LnPseudoPrior(4)	LnPseudoPrior(5)	LnPseudoPrior(6)	LnPseudoPrior(7)	LnPseudoPrior(8)	LnPseudoPrior(9)	LnPrior	LnData	LnPosterior
690	0.0973389	0.0500235	0.736039	8	-5.716377e+00	4.840783e-01	1.885677e+00	2.372551e+00	2.610506e+00	2.361204e+00	1.907949e-01	-1.396500e+00	-2.520649e+00	-2.956621e+00	1.911944e+00	3.713522e+01	3.904717e+01
700	0.101891	0.0494145	0.740946	6	-5.702963e+00	4.974923e-01	1.899091e+00	2.385965e+00	2.623920e+00	2.374618e+00	1.748363e-01	-1.412498e+00	-2.536805e+00	-3.002407e+00	1.878512e+00	3.838325e+01	4.026176e+01
710	0.0999039	0.0497796	0.740946	7	-5.689726e+00	5.107288e-01	1.912328e+00	2.399201e+00	2.637157e+00	2.387854e+00	1.153205e-01	-1.457502e+00	-2.538177e+00	-2.989170e+00	1.890888e+00	3.853152e+01	4.042241e+01
720	0.103987	0.0501985	0.730658	6	-5.676663e+00	5.237923e-01	1.925391e+00	2.412265e+00	2.650220e+00	2.400918e+00	1.140983e-01	-1.458743e+00	-2.568233e+00	-3.048096e+00	1.842307e+00	3.545010e+01	3.729241e+01
730	0.103802	0.0487597	0.709938	7	-5.663768e+00	5.366874e-01	1.938286e+00	2.425160e+00	2.663115e+00	2.399674e+00	2.760071e-02	-1.474162e+00	-2.555337e+00	-3.035201e+00	1.873123e+00	3.677662e+01	3.864974e+01
740	0.102837	0.0500326	0.731838	8	-5.651037e+00	5.494183e-01	1.951017e+00	2.437891e+00	2.675846e+00	2.412405e+00	1.225249e-02	-1.517429e+00	-2.598569e+00	-3.022470e+00	1.856811e+00	3.696749e+01	3.882430e+01
750	0.106069	0.0478547	0.720108	7	-5.638466e+00	5.619892e-01	1.963588e+00	2.450462e+00	2.688417e+00	2.424976e+00	2.482336e-02	-1.532428e+00	-2.641293e+00	-3.065316e+00	1.869940e+00	3.416137e+01	3.603131e+01
760	0.100082	0.0485599	0.71275	4	-5.626051e+00	5.744040e-01	1.976003e+00	2.462876e+00	2.673655e+00	2.410146e+00	-3.789698e-03	-1.547393e+00	-2.642611e+00	-3.052901e+00	1.913833e+00	3.409798e+01	3.601182e+01
770	0.0959124	0.050674	0.740898	7	-5.613788e+00	5.866666e-01	1.988265e+00	2.475139e+00	2.685917e+00	2.395398e+00	-5.896274e-02	-1.575572e+00	-2.630348e+00	-3.040638e+00	1.913676e+00	3.603748e+01	3.795116e+01
780	0.103361	0.0501931	0.760284	9	-5.601674e+00	5.987806e-01	2.000379e+00	2.487253e+00	2.698031e+00	2.407512e+00	-8.689731e-02	-1.603442e+00	-2.658203e+00	-3.041777e+00	1.848496e+00	3.634028e+01	3.818877e+01
790	0.0981945	0.0502157	0.760284	7	-5.589705e+00	6.107496e-01	2.012348e+00	2.499222e+00	2.710000e+00	2.419481e+00	-8.803913e-02	-1.617695e+00	-2.672613e+00	-3.095756e+00	1.899394e+00	3.874475e+01	4.064414e+01
800	0.096717	0.0502157	0.760284	8	-5.577878e+00	6.225771e-01	2.024176e+00	2.511049e+00	2.721828e+00	2.431308e+00	-1.414090e-01	-1.644829e+00	-2.686729e+00	-3.083928e+00	1.914481e+00	3.855901e+01	4.047349e+01
