iter	ka(1)	ke(1)	F(1)	LnPrior	LnData	LnPosterior
202	0.106251	0.0487085	0.719508	1.850631e+00	3.746309e+01	3.931372e+01
203	0.106251	0.0487085	0.719508	1.850631e+00	3.746309e+01	3.931372e+01
204	0.106251	0.0487085	0.719508	1.850631e+00	3.746309e+01	3.931372e+01
205	0.106251	0.0487085	0.719508	1.850631e+00	3.746309e+01	3.931372e+01
206	0.106251	0.0487085	0.719508	1.850631e+00	3.746309e+01	3.931372e+01
207	0.106251	0.0487085	0.719508	1.850631e+00	3.746309e+01	3.931372e+01
208	0.106251	0.0487085	0.719508	1.850631e+00	3.746309e+01	3.931372e+01
209	0.106251	0.0487085	0.719508	1.850631e+00	3.746309e+01	3.931372e+01
210	0.106251	0.0487085	0.719508	1.850631e+00	3.746309e+01	3.931372e+01
211	0.106251	0.0487085	0.719508	1.850631e+00	3.746309e+01	3.931372e+01
212	0.106251	0.0487085	0.719508	1.850631e+00	3.746309e+01	3.931372e+01
213	0.106251	0.0487085	0.719508	1.850631e+00	3.746309e+01	3.931372e+01
214	0.106251	0.0487085	0.719508	1.850631e+00	3.746309e+01	3.931372e+01
215	0.106251	0.0487085	0.719508	1.850631e+00	3.746309e+01	3.931372e+01
216	0.106251	0.0487085	0.719508	1.850631e+00	3.746309e+01	3.931372e+01
217	0.106251	0.0488823	0.719508	1.847085e+00	3.755558e+01	3.940266e+01
218	0.106251	0.0488823	0.722982	1.847085e+00	3.756996e+01	3.941704e+01
219	0.106251	0.0488823	0.721847	1.847085e+00	3.757546e+01	3.942255e+01
220	0.106251	0.0488823	0.721847	1.847085e+00	3.757546e+01	3.942255e+01
221	0.106251	0.0488823	0.721847	1.847085e+00	3.757546e+01	3.942255e+01
222	0.106251	0.0488823	0.721847	1.847085e+00	3.757546e+01	3.942255e+01
223	0.106251	0.0488823	0.721847	1.847085e+00	3.757546e+01	3.942255e+01
224	0.106251	0.0488823	0.721847	1.847085e+00	3.757546e+01	3.942255e+01
225	0.106251	0.0488823	0.721847	1.847085e+00	3.757546e+01	3.942255e+01
226	0.106251	0.0489568	0.721847	1.845570e+00	3.757886e+01	3.942443e+01
227	0.106251	0.0489568	0.721847	1.845570e+00	3.757886e+01	3.942443e+01
228	0.106251	0.0489568	0.721847	1.845570e+00	3.757886e+01	3.942443e+01
229	0.106251	0.0489568	0.721847	1.845570e+00	3.757886e+01	3.942443e+01
230	0.106251	0.0489568	0.721847	1.845570e+00	3.757886e+01	3.942443e+01
231	0.106251	0.0489568	0.721847	1.845570e+00	3.757886e+01	3.942443e+01
232	0.106251	0.0489568	0.721847	1.845570e+00	3.757886e+01	3.942443e+01
233	0.106251	0.0489568	0.721847	1.845570e+00	3.757886e+01	3.942443e+01
234	0.106251	0.0489568	0.721847	1.845570e+00	3.757886e+01	3.942443e+01
235	0.106251	0.0489568	0.721847	1.845570e+00	3.757886e+01	3.942443e+01
