iter	t1(1)	t2(1)	t3(1)	LnPrior	LnData	LnPosterior
5725	1.90411	4.96267	7.08391	-1.136484e+00	2.108492e+01	1.994844e+01
5730	1.93756	5.11079	6.87812	-7.516964e-01	1.972934e+01	1.897764e+01
5735	1.93756	5.03541	7.05737	-1.065037e+00	2.201860e+01	2.095356e+01
5740	1.94828	4.91623	7.00025	-9.532806e-01	2.187447e+01	2.092118e+01
5745	2.00057	4.99389	7.05712	-1.054241e+00	2.254127e+01	2.148703e+01
5750	2.00057	4.9603	7.02654	-9.910476e-01	2.263645e+01	2.164541e+01
5755	2.00057	4.90369	6.9305	-8.226063e-01	2.142340e+01	2.060080e+01
5760	2.00057	5.03634	6.9398	-8.228965e-01	2.236673e+01	2.154383e+01
5765	2.00057	5.00749	6.9398	-8.203671e-01	2.248941e+01	2.166904e+01
5770	2.00057	5.07828	6.9398	-8.325118e-01	2.188621e+01	2.105370e+01
5775	2.03194	5.09487	7.00479	-9.630642e-01	2.186795e+01	2.090489e+01
5780	2.06208	5.07434	7.00479	-9.617842e-01	2.193305e+01	2.097127e+01
5785	2.06208	5.00298	7.07099	-1.093187e+00	2.198421e+01	2.089102e+01
5790	2.06208	5.00298	7.07322	-1.098286e+00	2.195204e+01	2.085376e+01
5795	2.06208	5.02021	7.04633	-1.038887e+00	2.223481e+01	2.119592e+01
5800	2.06208	5.01942	6.92786	-8.079932e-01	2.191402e+01	2.110603e+01
5805	2.06208	5.0704	7.03104	-1.015029e+00	2.189745e+01	2.088242e+01
5810	2.05579	5.04472	6.98555	-9.151501e-01	2.233971e+01	2.142456e+01
5815	1.99885	4.9288	7.00588	-9.553725e-01	2.234487e+01	2.138949e+01
5820	1.96526	5.04631	7.10188	-1.164624e+00	2.149177e+01	2.032714e+01
5825	2.05168	5.06956	6.83658	-6.749893e-01	1.940906e+01	1.873407e+01
5830	2.04982	4.96339	6.93084	-8.122922e-01	2.199075e+01	2.117845e+01
5835	2.01618	4.95839	6.93084	-8.086357e-01	2.217146e+01	2.136282e+01
5840	2.13796	5.11052	6.93084	-8.671471e-01	1.924804e+01	1.838090e+01
5845	2.13796	4.93165	7.13486	-1.286900e+00	1.865902e+01	1.737212e+01
5850	1.91464	4.9943	7.00426	-9.565983e-01	2.211871e+01	2.116211e+01
5855	1.91464	4.89541	6.93629	-8.505456e-01	2.058880e+01	1.973825e+01
5860	1.91883	4.87967	6.97426	-9.253813e-01	2.064829e+01	1.972291e+01
5865	1.91883	4.95144	7.06597	-1.091941e+00	2.152015e+01	2.042821e+01
5870	1.91301	4.95548	6.99034	-9.333706e-01	2.187941e+01	2.094604e+01
5875	1.91301	5.02318	6.99034	-9.304814e-01	2.203314e+01	2.110266e+01
5880	1.87834	5.08108	7.04264	-1.065061e+00	2.052811e+01	1.946305e+01
5885	2.02891	5.12131	6.9854	-9.357245e-01	2.129086e+01	2.035513e+01
5890	2.02891	5.0602	6.95488	-8.561510e-01	2.221731e+01	2.136116e+01
5895	1.92117	5.07624	6.9444	-8.524344e-01	2.133715e+01	2.048472e+01
5900	1.92117	4.87707	6.8148	-6.742554e-01	1.720462e+01	1.653036e+01
5905	2.08909	4.96489	7.01465	-9.814660e-01	2.192775e+01	2.094628e+01
5910	2.04417	4.95766	6.95791	-8.602519e-01	2.230503e+01	2.144478e+01
5915	1.95913	5.01141	6.83402	-6.601435e-01	1.987970e+01	1.921956e+01
5920	1.98341	5.04162	6.81168	-6.317092e-01	1.906772e+01	1.843601e+01
5925	2.16983	5.08294	6.89452	-8.161398e-01	1.815180e+01	1.733566e+01
5930	2.17059	4.96593	6.91088	-8.315611e-01	1.901242e+01	1.818086e+01
5935	1.86425	5.00832	6.9872	-9.451229e-01	2.096983e+01	2.002471e+01
5940	2.04971	5.11422	6.9872	-9.391669e-01	2.130073e+01	2.036156e+01
5945	1.93734	5.02497	6.9872	-9.172320e-01	2.238702e+01	2.146979e+01
5950	1.89298	5.04541	6.9872	-9.351625e-01	2.148027e+01	2.054510e+01
5955	1.89298	5.05376	6.99252	-9.472501e-01	2.140906e+01	2.046181e+01
5960	1.98075	5.09799	7.02248	-9.993212e-01	2.182089e+01	2.082157e+01
5965	2.06853	4.97624	7.01524	-9.748577e-01	2.231917e+01	2.134431e+01
5970	1.84465	4.91456	7.04469	-1.089640e+00	1.947272e+01	1.838308e+01
5975	2.08162	5.00041	7.09279	-1.149533e+00	2.134547e+01	2.019594e+01
5980	2.08162	5.02029	7.03353	-1.016855e+00	2.205464e+01	2.103779e+01
5985	1.99894	5.06886	7.16382	-1.324211e+00	1.969995e+01	1.837574e+01
5990	1.97984	5.05828	7.02029	-9.824049e-01	2.244876e+01	2.146635e+01
5995	2.0574	4.88182	7.05414	-1.082059e+00	2.082786e+01	1.974580e+01
6000	1.94406	4.90718	7.02183	-1.001496e+00	2.162053e+01	2.061903e+01
6005	2.0693	5.01084	7.02183	-9.878469e-01	2.233371e+01	2.134586e+01
6010	2.0693	5.05775	7.03593	-1.024112e+00	2.193213e+01	2.090802e+01
6015	1.87892	5.02446	7.01413	-9.925829e-01	2.130007e+01	2.030749e+01
6020	2.05942	5.01917	7.01413	-9.698638e-01	2.246381e+01	2.149394e+01
6025	2.06624	5.03905	6.80418	-6.302755e-01	1.838910e+01	1.775882e+01
6030	1.96023	4.97765	7.02632	-9.915950e-01	2.258475e+01	2.159316e+01
6035	1.96023	4.97831	6.87563	-7.197041e-01	2.107611e+01	2.035640e+01
6040	1.96023	5.08479	7.04979	-1.055491e+00	2.174319e+01	2.068770e+01
6045	1.96023	5.02807	7.16351	-1.318635e+00	1.994156e+01	1.862293e+01
6050	1.96023	5.03657	7.15681	-1.302034e+00	2.010334e+01	1.880130e+01
6055	1.96023	5.07944	6.98504	-9.197245e-01	2.205205e+01	2.113232e+01
6060	1.88492	4.93398	6.98504	-9.391397e-01	2.104715e+01	2.010801e+01
6065	1.91626	4.96607	7.12261	-1.225020e+00	2.052920e+01	1.930418e+01
6070	2.16118	4.99073	7.11813	-1.249713e+00	1.885610e+01	1.760639e+01
6075	1.96126	4.85305	6.91785	-8.287857e-01	1.982281e+01	1.899402e+01
6080	1.96126	5.01008	6.91785	-7.858031e-01	2.201130e+01	2.122550e+01
6085	1.96126	4.94353	6.91785	-7.919769e-01	2.169184e+01	2.089986e+01
6090	1.90413	4.95607	6.9716	-9.004455e-01	2.164547e+01	2.074503e+01
6095	2.06493	4.96186	7.10087	-1.166827e+00	2.128266e+01	2.011583e+01
6100	1.97727	5.1147	7.0006	-9.619500e-01	2.149798e+01	2.053602e+01
6105	2.10015	4.99663	7.03285	-1.021353e+00	2.175737e+01	2.073602e+01
6110	2.07146	4.91975	7.02757	-1.013164e+00	2.162650e+01	2.061333e+01
6115	2.01811	4.97849	7.06326	-1.069512e+00	2.239126e+01	2.132175e+01
6120	2.05031	5.04437	6.93211	-8.158332e-01	2.195121e+01	2.113538e+01
6125	2.05031	4.93477	6.94479	-8.426445e-01	2.186508e+01	2.102244e+01
6130	1.96362	4.93477	6.9356	-8.240554e-01	2.186627e+01	2.104222e+01
6135	2.03722	4.93477	6.92551	-8.068009e-01	2.172451e+01	2.091771e+01
6140	2.03722	4.99951	7.07125	-1.088821e+00	2.222796e+01	2.113914e+01
6145	2.03722	5.01654	6.96028	-8.604358e-01	2.254144e+01	2.168100e+01
6150	1.94743	5.02949	6.96028	-8.643841e-01	2.233605e+01	2.147166e+01
6155	2.09945	4.99145	6.96028	-8.770454e-01	2.170800e+01	2.083096e+01
6160	1.92554	4.95128	6.96028	-8.729550e-01	2.189098e+01	2.101803e+01
6165	1.9197	4.9279	7.01597	-9.891378e-01	2.165214e+01	2.066300e+01
6170	1.89451	5.036	7.01597	-9.906932e-01	2.158322e+01	2.059253e+01
6175	2.03537	5.10605	7.01597	-9.908428e-01	2.159680e+01	2.060596e+01
6180	2.03537	4.99477	6.9838	-9.040873e-01	2.271304e+01	2.180896e+01
6185	1.87984	5.02528	6.98892	-9.416413e-01	2.132283e+01	2.038119e+01
6190	2.00596	4.98062	6.96305	-8.630512e-01	2.268211e+01	2.181906e+01
6195	2.00596	5.03986	7.18202	-1.366958e+00	1.937781e+01	1.801085e+01
6200	2.10788	4.97476	7.04439	-1.050669e+00	2.144200e+01	2.039133e+01
6205	2.10788	4.98235	7.04439	-1.050018e+00	2.147546e+01	2.042544e+01
6210	1.86294	4.99554	6.92511	-8.324572e-01	2.037886e+01	1.954640e+01
6215	2.1783	5.06955	6.92511	-8.680994e-01	1.862108e+01	1.775298e+01
6220	2.16196	4.99849	6.90821	-8.191469e-01	1.937796e+01	1.855882e+01
6225	2.04884	4.99033	6.95044	-8.441601e-01	2.236688e+01	2.152272e+01
6230	1.92502	5.07753	7.06271	-1.089948e+00	2.130374e+01	2.021379e+01
6235	1.92502	5.00222	6.89821	-7.618028e-01	2.123331e+01	2.047150e+01
6240	1.92429	4.9892	7.02697	-1.000487e+00	2.219877e+01	2.119829e+01
6245	1.97022	4.90876	6.87681	-7.357973e-01	2.037565e+01	1.963985e+01
6250	2.10967	4.96609	7.08024	-1.133106e+00	2.090251e+01	1.976940e+01
6255	2.09929	5.02715	6.95161	-8.624963e-01	2.157033e+01	2.070783e+01
6260	2.11588	5.09747	6.92546	-8.412837e-01	2.000642e+01	1.916514e+01
6265	2.11588	5.10598	6.99531	-9.733754e-01	2.039484e+01	1.942147e+01
6270	2.00418	4.91127	6.95532	-8.638069e-01	2.185393e+01	2.099012e+01
6275	2.00418	5.10236	7.07227	-1.109375e+00	2.129913e+01	2.018975e+01
6280	1.96054	4.90316	6.95294	-8.655713e-01	2.151887e+01	2.065330e+01
6285	1.96054	4.99775	7.10615	-1.171373e+00	2.158183e+01	2.041046e+01
6290	2.00525	5.01332	6.96459	-8.655005e-01	2.271805e+01	2.185255e+01
6295	2.0283	4.8858	6.97927	-9.204912e-01	2.141357e+01	2.049308e+01
6300	2.0283	4.99866	6.95002	-8.400406e-01	2.253072e+01	2.169068e+01
6305	2.0283	5.04182	6.95002	-8.435342e-01	2.236074e+01	2.151721e+01
6310	2.0283	5.04085	6.9435	-8.317319e-01	2.229799e+01	2.146626e+01
6315	1.98891	5.03241	6.9435	-8.291399e-01	2.242405e+01	2.159491e+01
6320	1.98891	5.041	7.20295	-1.425289e+00	1.854622e+01	1.712093e+01
6325	1.98891	5.02738	7.01475	-9.650865e-01	2.276126e+01	2.179617e+01
6330	1.88752	4.83728	6.89027	-8.162876e-01	1.765588e+01	1.683960e+01
6335	2.04945	4.98691	7.10363	-1.167370e+00	2.153565e+01	2.036828e+01
6340	2.15685	4.98422	7.10363	-1.211835e+00	1.929495e+01	1.808311e+01
6345	1.95328	5.10225	6.84308	-6.940795e-01	1.909622e+01	1.840214e+01
6350	1.95328	5.08326	7.13677	-1.262590e+00	2.007804e+01	1.881545e+01
6355	2.04795	4.9955	6.91595	-7.840618e-01	2.191359e+01	2.112952e+01
6360	2.01308	4.99605	7.03005	-9.956768e-01	2.276251e+01	2.176683e+01
6365	2.02872	4.88546	7.03005	-1.023192e+00	2.136209e+01	2.033889e+01
6370	1.93343	4.94983	7.0772	-1.113630e+00	2.156206e+01	2.044843e+01
6375	1.93343	4.8977	6.99293	-9.491600e-01	2.133946e+01	2.039030e+01
6380	1.9181	4.9934	6.94915	-8.503756e-01	2.190982e+01	2.105945e+01
6385	2.05986	5.08616	6.98029	-9.167631e-01	2.173042e+01	2.081366e+01
6390	2.05986	5.06361	6.98029	-9.100096e-01	2.206934e+01	2.115933e+01
6395	2.05986	5.09639	6.9665	-8.943952e-01	2.146831e+01	2.057392e+01
6400	2.10339	4.98845	6.89094	-7.607162e-01	2.057335e+01	1.981264e+01
6405	1.98045	4.94887	7.07698	-1.105202e+00	2.196907e+01	2.086387e+01
6410	1.93755	4.94114	7.01838	-9.855743e-01	2.207965e+01	2.109408e+01
6415	1.93755	4.91318	7.00274	-9.617826e-01	2.169636e+01	2.073458e+01
6420	2.05354	4.97998	7.0409	-1.025071e+00	2.237720e+01	2.135213e+01
6425	2.05295	5.02625	7.00889	-9.583231e-01	2.251619e+01	2.155787e+01
6430	2.05295	4.97286	7.00889	-9.584177e-01	2.250564e+01	2.154722e+01
6435	2.05295	5.07503	6.99115	-9.327201e-01	2.202118e+01	2.108846e+01
6440	2.05295	5.04038	7.05812	-1.065264e+00	2.209393e+01	2.102866e+01
6445	1.94564	5.04038	6.93505	-8.211139e-01	2.197174e+01	2.115063e+01
6450	1.98122	4.97175	6.99007	-9.160330e-01	2.273539e+01	2.181935e+01
6455	1.93416	5.05496	7.02863	-1.007000e+00	2.204506e+01	2.103806e+01
6460	1.92452	5.10347	6.88905	-7.689335e-01	1.995994e+01	1.919101e+01
6465	2.01524	5.02758	6.88905	-7.381140e-01	2.151796e+01	2.077985e+01
6470	2.01524	5.06075	6.95339	-8.523754e-01	2.225631e+01	2.140393e+01
6475	2.08083	4.98397	6.95339	-8.581101e-01	2.196290e+01	2.110479e+01
6480	2.01172	4.94956	7.06853	-1.085224e+00	2.212696e+01	2.104173e+01
6485	2.02792	4.96682	7.0219	-9.819140e-01	2.263124e+01	2.164933e+01
6490	2.02792	5.10077	6.95768	-8.742072e-01	2.159335e+01	2.071914e+01
6495	2.03867	5.00204	6.96608	-8.708628e-01	2.259993e+01	2.172906e+01
6500	2.0012	5.0352	6.96608	-8.703449e-01	2.262722e+01	2.175688e+01
6505	2.0012	5.0352	6.96608	-8.703449e-01	2.262722e+01	2.175688e+01
6510	2.0012	5.04888	6.93453	-8.158226e-01	2.219293e+01	2.137711e+01
6515	2.01941	5.02845	6.93453	-8.134137e-01	2.231386e+01	2.150045e+01
6520	2.07145	5.00458	6.93453	-8.212937e-01	2.191658e+01	2.109528e+01
6525	2.07145	4.87941	7.03651	-1.048377e+00	2.074711e+01	1.969873e+01
6530	2.07145	5.04989	7.03651	-1.024269e+00	2.198231e+01	2.095804e+01
6535	2.07145	4.96843	6.97407	-8.950910e-01	2.218392e+01	2.128883e+01
6540	2.21182	5.05697	6.99469	-1.019071e+00	1.803353e+01	1.701446e+01
6545	1.95311	5.04685	7.01507	-9.727850e-01	2.240362e+01	2.143083e+01
6550	1.95311	5.02343	7.02496	-9.900652e-01	2.252898e+01	2.153891e+01
6555	1.99609	4.8932	6.99897	-9.541785e-01	2.170166e+01	2.074748e+01
6560	1.99609	4.95358	6.90434	-7.647224e-01	2.170652e+01	2.094180e+01
6565	1.99609	5.04845	7.05945	-1.064091e+00	2.228266e+01	2.121857e+01
6570	1.98383	4.95273	6.9744	-8.885073e-01	2.253935e+01	2.165085e+01
6575	1.98383	4.98818	7.04251	-1.022847e+00	2.264739e+01	2.162454e+01
6580	1.95691	5.03404	7.04251	-1.028074e+00	2.238473e+01	2.135666e+01
6585	1.94336	4.98297	6.95562	-8.555822e-01	2.230257e+01	2.144699e+01
6590	1.94336	5.00226	6.91823	-7.896642e-01	2.185238e+01	2.106272e+01
6595	1.94336	5.039	7.0474	-1.042161e+00	2.216686e+01	2.112470e+01
6600	1.9995	4.97908	7.0527	-1.045224e+00	2.254754e+01	2.150232e+01
6605	2.04287	5.01106	6.93219	-8.108972e-01	2.220230e+01	2.139140e+01
