Results of Simulation 1

Time	v1	v2
5.43	1.22311	5.74747
5.44	1.22189	5.74173
5.45	1.22067	5.73599
5.46	1.21945	5.73026
5.47	1.21823	5.72453
5.48	1.21701	5.71881
5.49	1.21579	5.71309
5.5	1.21458	5.70738
5.51	1.21337	5.70168
5.52	1.21215	5.69598
5.53	1.21094	5.69029
5.54	1.20973	5.6846
5.55	1.20852	5.67892
5.56	1.20731	5.67324
5.57	1.20611	5.66757
5.58	1.2049	5.66191
5.59	1.2037	5.65625
5.6	1.20249	5.65059
5.61	1.20129	5.64495
5.62	1.20009	5.6393
5.63	1.19889	5.63367
5.64	1.19769	5.62804
5.65	1.1965	5.62241
5.66	1.1953	5.61679
5.67	1.19411	5.61118
5.68	1.19291	5.60557
5.69	1.19172	5.59997
5.7	1.19053	5.59437
5.71	1.18934	5.58878
5.72	1.18815	5.58319
5.73	1.18696	5.57761
5.74	1.18578	5.57204
5.75	1.18459	5.56647
5.76	1.18341	5.5609
5.77	1.18222	5.55534
5.78	1.18104	5.54979
5.79	1.17986	5.54425
5.8	1.17868	5.5387
5.81	1.1775	5.53317
5.82	1.17633	5.52764
5.83	1.17515	5.52211
5.84	1.17398	5.51659
5.85	1.1728	5.51108
5.86	1.17163	5.50557
5.87	1.17046	5.50007
5.88	1.16929	5.49457
5.89	1.16812	5.48908
5.9	1.16695	5.48359
5.91	1.16579	5.47811
5.92	1.16462	5.47264
5.93	1.16346	5.46717
5.94	1.1623	5.4617
5.95	1.16113	5.45624
5.96	1.15997	5.45079
5.97	1.15881	5.44534
5.98	1.15766	5.4399
5.99	1.1565	5.43446
6	1.15534	5.42903
6.01	1.15419	5.4236
6.02	1.15304	5.41818
6.03	1.15188	5.41277
6.04	1.15073	5.40736
6.05	1.14958	5.40195
6.06	1.14843	5.39655
6.07	1.14728	5.39116
6.08	1.14614	5.38577
6.09	1.14499	5.38039
6.1	1.14385	5.37501
6.11	1.1427	5.36964
6.12	1.14156	5.36427
6.13	1.14042	5.35891
6.14	1.13928	5.35355
6.15	1.13814	5.3482
6.16	1.13701	5.34286
6.17	1.13587	5.33752
6.18	1.13473	5.33218
6.19	1.1336	5.32685
6.2	1.13247	5.32153
6.21	1.13133	5.31621
6.22	1.1302	5.3109
6.23	1.12907	5.30559
6.24	1.12795	5.30028
6.25	1.12682	5.29499
6.26	1.12569	5.28969
6.27	1.12457	5.28441
6.28	1.12344	5.27913
6.29	1.12232	5.27385
6.3	1.1212	5.26858
6.31	1.12008	5.26331
6.32	1.11896	5.25805
6.33	1.11784	5.2528
6.34	1.11672	5.24755
6.35	1.11561	5.2423
6.36	1.11449	5.23706
6.37	1.11338	5.23183
6.38	1.11226	5.2266
6.39	1.11115	5.22137
6.4	1.11004	5.21615
6.41	1.10893	5.21094
6.42	1.10782	5.20573
6.43	1.10672	5.20053
6.44	1.10561	5.19533
6.45	1.10451	5.19014
6.46	1.1034	5.18495
6.47	1.1023	5.17977
6.48	1.1012	5.17459
6.49	1.1001	5.16942
6.5	1.099	5.16425
6.51	1.0979	5.15909
6.52	1.0968	5.15393
6.53	1.0957	5.14878
6.54	1.09461	5.14364
6.55	1.09352	5.1385
6.56	1.09242	5.13336
6.57	1.09133	5.12823
6.58	1.09024	5.1231
6.59	1.08915	5.11798
6.6	1.08806	5.11287
6.61	1.08697	5.10776
6.62	1.08589	5.10265
6.63	1.0848	5.09755
6.64	1.08372	5.09246
6.65	1.08263	5.08737
6.66	1.08155	5.08228
6.67	1.08047	5.0772
6.68	1.07939	5.07213
6.69	1.07831	5.06706
6.7	1.07724	5.06199
6.71	1.07616	5.05693
6.72	1.07508	5.05188
6.73	1.07401	5.04683
6.74	1.07293	5.04179
6.75	1.07186	5.03675
6.76	1.07079	5.03171
6.77	1.06972	5.02668
6.78	1.06865	5.02166
6.79	1.06758	5.01664
6.8	1.06652	5.01163
6.81	1.06545	5.00662
6.82	1.06439	5.00161
6.83	1.06332	4.99661
6.84	1.06226	4.99162
6.85	1.0612	4.98663
6.86	1.06014	4.98165
6.87	1.05908	4.97667
6.88	1.05802	4.97169
6.89	1.05696	4.96672
6.9	1.0559	4.96176
6.91	1.05485	4.9568
6.92	1.05379	4.95185
6.93	1.05274	4.9469
6.94	1.05169	4.94195
6.95	1.05064	4.93701
6.96	1.04959	4.93208
6.97	1.04854	4.92715
6.98	1.04749	4.92222
6.99	1.04644	4.9173
7	1.0454	4.91239
7.01	1.04435	4.90748
7.02	1.04331	4.90257
7.03	1.04227	4.89767
7.04	1.04122	4.89278
7.05	1.04018	4.88789
7.06	1.03914	4.883
7.07	1.03811	4.87812
7.08	1.03707	4.87325
7.09	1.03603	4.86838
7.1	1.035	4.86351
7.11	1.03396	4.85865
7.12	1.03293	4.85379
7.13	1.0319	4.84894
7.14	1.03086	4.8441
7.15	1.02983	4.83925
7.16	1.0288	4.83442
7.17	1.02778	4.82958
7.18	1.02675	4.82476
7.19	1.02572	4.81994
7.2	1.0247	4.81512
7.21	1.02367	4.8103
7.22	1.02265	4.8055
7.23	1.02163	4.80069
7.24	1.02061	4.7959
