Results of Simulation 1

Time	theta_1	theta_2
156.4	196.874	197.126
156.6	197.124	197.376
156.8	197.374	197.626
157	197.624	197.876
157.2	197.874	198.126
157.4	198.124	198.376
157.6	198.374	198.626
157.8	198.624	198.876
158	198.874	199.126
158.2	199.124	199.376
158.4	199.374	199.626
158.6	199.624	199.876
158.8	199.874	200.126
159	200.124	200.376
159.2	200.374	200.626
159.4	200.624	200.876
159.6	200.874	201.126
159.8	201.124	201.376
160	201.374	201.626
160.2	201.624	201.876
160.4	201.874	202.126
160.6	202.124	202.376
160.8	202.374	202.626
161	202.624	202.876
161.2	202.874	203.126
161.4	203.124	203.376
161.6	203.374	203.626
161.8	203.624	203.876
162	203.874	204.126
162.2	204.124	204.376
162.4	204.374	204.626
162.6	204.624	204.876
162.8	204.874	205.126
163	205.124	205.376
163.2	205.374	205.626
163.4	205.624	205.876
163.6	205.874	206.126
163.8	206.124	206.376
164	206.374	206.626
164.2	206.624	206.876
164.4	206.874	207.126
164.6	207.124	207.376
164.8	207.374	207.626
165	207.624	207.876
165.2	207.874	208.126
165.4	208.124	208.376
165.6	208.374	208.626
165.8	208.624	208.876
166	208.874	209.126
166.2	209.124	209.376
166.4	209.374	209.626
166.6	209.624	209.876
166.8	209.874	210.126
167	210.124	210.376
167.2	210.374	210.626
167.4	210.624	210.876
167.6	210.874	211.126
167.8	211.124	211.376
168	211.374	211.626
168.2	211.624	211.876
168.4	211.874	212.126
168.6	212.124	212.376
168.8	212.374	212.626
169	212.624	212.876
169.2	212.874	213.126
169.4	213.124	213.376
169.6	213.374	213.626
169.8	213.624	213.876
170	213.874	214.126
170.2	214.124	214.376
170.4	214.374	214.626
170.6	214.624	214.876
170.8	214.874	215.126
171	215.124	215.376
171.2	215.374	215.626
171.4	215.624	215.876
171.6	215.874	216.126
171.8	216.124	216.376
172	216.374	216.626
172.2	216.624	216.876
172.4	216.874	217.126
172.6	217.124	217.376
172.8	217.374	217.626
173	217.624	217.876
173.2	217.874	218.126
173.4	218.124	218.376
173.6	218.374	218.626
173.8	218.624	218.876
174	218.874	219.126
174.2	219.124	219.376
174.4	219.374	219.626
174.6	219.624	219.876
174.8	219.874	220.126
175	220.124	220.376
175.2	220.374	220.626
175.4	220.624	220.876
175.6	220.874	221.126
175.8	221.124	221.376
176	221.374	221.626
176.2	221.624	221.876
176.4	221.874	222.126
176.6	222.124	222.376
176.8	222.374	222.626
177	222.624	222.876
177.2	222.874	223.126
177.4	223.124	223.376
177.6	223.374	223.626
177.8	223.624	223.876
178	223.874	224.126
178.2	224.124	224.376
178.4	224.374	224.626
178.6	224.624	224.876
178.8	224.874	225.126
179	225.124	225.376
179.2	225.374	225.626
179.4	225.624	225.876
179.6	225.874	226.126
179.8	226.124	226.376
180	226.374	226.626
180.2	226.624	226.876
180.4	226.874	227.126
180.6	227.124	227.376
180.8	227.374	227.626
181	227.624	227.876
181.2	227.874	228.126
181.4	228.124	228.376
181.6	228.374	228.626
181.8	228.624	228.876
182	228.874	229.126
182.2	229.124	229.376
182.4	229.374	229.626
182.6	229.624	229.876
182.8	229.874	230.126
183	230.124	230.376
183.2	230.374	230.626
183.4	230.624	230.876
183.6	230.874	231.126
183.8	231.124	231.376
184	231.374	231.626
184.2	231.624	231.876
184.4	231.874	232.126
184.6	232.124	232.376
184.8	232.374	232.626
185	232.624	232.876
185.2	232.874	233.126
185.4	233.124	233.376
185.6	233.374	233.626
185.8	233.624	233.876
186	233.874	234.126
186.2	234.124	234.376
186.4	234.374	234.626
186.6	234.624	234.876
186.8	234.874	235.126
187	235.124	235.376
187.2	235.374	235.626
187.4	235.624	235.876
187.6	235.874	236.126
187.8	236.124	236.376
188	236.374	236.626
188.2	236.624	236.876
188.4	236.874	237.126
188.6	237.124	237.376
188.8	237.374	237.626
189	237.624	237.876
189.2	237.874	238.126
189.4	238.124	238.376
189.6	238.374	238.626
189.8	238.624	238.876
190	238.874	239.126
190.2	239.124	239.376
190.4	239.374	239.626
190.6	239.624	239.876
190.8	239.874	240.126
191	240.124	240.376
191.2	240.374	240.626
191.4	240.624	240.876
191.6	240.874	241.126
191.8	241.124	241.376
192	241.374	241.626
192.2	241.624	241.876
192.4	241.874	242.126
192.6	242.124	242.376
192.8	242.374	242.626
193	242.624	242.876
193.2	242.874	243.126
193.4	243.124	243.376
193.6	243.374	243.626
193.8	243.624	243.876
194	243.874	244.126
194.2	244.124	244.376
194.4	244.374	244.626
194.6	244.624	244.876
194.8	244.874	245.126
195	245.124	245.376
195.2	245.374	245.626
195.4	245.624	245.876
195.6	245.874	246.126
195.8	246.124	246.376
196	246.374	246.626
196.2	246.624	246.876
196.4	246.874	247.126
196.6	247.124	247.376
196.8	247.374	247.626
197	247.624	247.876
197.2	247.874	248.126
197.4	248.124	248.376
197.6	248.374	248.626
197.8	248.624	248.876
198	248.874	249.126
198.2	249.124	249.376
198.4	249.374	249.626
198.6	249.624	249.876
198.8	249.874	250.126
199	250.124	250.376
199.2	250.374	250.626
199.4	250.624	250.876
199.6	250.874	251.126
199.8	251.124	251.376
200	251.374	251.626

